logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9727/thumb_2008_9727_9607_6939.png/fit-in/300x300,"Japan GreenTea Co., Ltd.",Trade Centre Arena,S-I5,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Japan
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9019/thumb_2008_9019_8899_4441.png/fit-in/300x300,Japan Livestock Products Export Promotion Council,Hall 3,E3-20,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/meatpoultry.png,Japan
https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/logo_exhibitor_default.png,JARRAH FOODSTUFF TRADING L.L.G,Shk Rashid Hall,R-H53,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10579/thumb_2008_10579_10458_3231.png/fit-in/300x300,Jasa Alimentacion,Shk Saeed Hall 1,S1-I76,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Spain
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8160/thumb_2008_8160_8040_2115.png/fit-in/300x300,Jashan Trading LLC - AE,Za'abeel Hall 5,Z5-J13,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/powerbrands.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10037/thumb_2008_10037_9917_1044.png/fit-in/300x300,Jasmer Foods Pvt. Ltd.,Za'abeel Hall 5,Z5-F63,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13247/thumb_2008_13247_13126_7279.png/fit-in/300x300,Jay Agro Product,Za'abeel Plaza,ZP-K8,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10140/thumb_2008_10140_10020_5352.png/fit-in/300x300,Jayant Snacks And Beverages Pvt. Ltd.,Trade Centre Arena,S-A57,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10018/thumb_2008_10018_9898_3009.png/fit-in/300x300,Jayshri Gayatri Food Products Pvt. Ltd,Hall 2,G2-49,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13152/thumb_2008_13152_13031_9676.png/fit-in/300x300,Jayveer Industries,Za'abeel Plaza,ZP-L14,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,India
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12767/thumb_2008_12767_12646_2591.png/fit-in/300x300,JAZAA GLOBAL PVT LTD,Za'abeel Hall 6,Z6-G48,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Pakistan
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11746/thumb_2008_11746_11625_5704.png/fit-in/300x300,JBM Food Products,Shk Rashid Hall,R-180_,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Philippines
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12228/thumb_2008_12228_12107_9990.png/fit-in/300x300,Jc Impex Sa,Za'abeel Hall 4,Z4-E17,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Argentina
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11885/thumb_2008_11885_11764_2952.png/fit-in/300x300,"JD FOOD PUBLIC CO., LTD.",Shk Rashid Hall,R-M7,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Thailand
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9502/thumb_2008_9502_9382_5112.png/fit-in/300x300,Jean Floch Conserverie,Hall 3,H3-19,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/meatpoultry.png,France
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9461/thumb_2008_9461_9341_8585.png/fit-in/300x300,JEAN HERVE,Shk Saeed Hall 2,S2-B54,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,France
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12499/thumb_2008_12499_12378_2230.png/fit-in/300x300,Jebel Ali Free Zone FZE,Concourse 2,CC7-16,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8097/thumb_2008_8097_7977_9254.png/fit-in/300x300,Jekor Food,Al Mustaqbal Plaza,MP2-108,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Iraq
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10763/thumb_2008_10763_10642_1314.png/fit-in/300x300,Jermi Kaesewerk GmbH,Hall 2,C2-10,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/dairy.png,Germany
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12230/thumb_2008_12230_12109_6464.png/fit-in/300x300,Jewell Especialidades S.A.,Za'abeel Hall 4,Z4-E53,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Argentina
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8161/thumb_2008_8161_8041_7129.png/fit-in/300x300,JFC Food Industries Sdn Bhd,Al Mustaqbal Plaza,MP-E24,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Malaysia
